UserID,SessionID,Timestamp,EventType,ProductID,Amount,Outcome
1,1,08:10.6,product_view,prod_8199,,
1,1,32:05.5,add_to_cart,prod_4112,,
1,1,43:01.3,add_to_cart,prod_3354,,
1,1,09:52.0,page_view,,,
1,1,13:26.9,add_to_cart,prod_4965,,
1,1,41:53.1,login,,,
1,1,13:38.0,click,,,
1,2,17:34.5,page_view,,,
1,2,56:23.7,logout,,,
1,2,00:13.0,click,,,
1,2,07:46.9,product_view,prod_2683,,
1,2,47:38.8,page_view,,,
1,2,01:09.5,page_view,,,
1,3,22:41.1,purchase,prod_5244,72.9136187,purchase
1,3,23:27.0,login,,,
1,3,58:06.4,click,,,
1,3,33:10.3,product_view,prod_9640,,
1,3,42:42.1,add_to_cart,prod_8364,,
1,3,46:46.4,add_to_cart,prod_9851,,
1,3,04:33.1,page_view,,,
1,3,19:33.0,login,,,
1,3,46:13.9,add_to_cart,prod_6426,,
1,4,08:42.7,product_view,prod_5771,,
1,4,36:29.7,add_to_cart,prod_8066,,
1,4,08:04.3,page_view,,,
1,4,05:11.8,login,,,
1,4,57:26.9,login,,,
1,4,25:49.7,add_to_cart,prod_1102,,
1,4,15:52.1,purchase,prod_9886,7.677937742,purchase
1,4,12:05.6,page_view,,,
1,4,15:51.4,add_to_cart,prod_6144,,
1,4,57:34.7,add_to_cart,prod_5644,,
1,5,51:29.4,purchase,prod_6690,149.2700474,purchase
1,5,44:57.3,login,,,
1,5,51:05.7,logout,,,
1,5,40:55.4,purchase,prod_9946,359.5891362,purchase
1,5,48:43.1,page_view,,,
1,5,02:38.2,click,,,
1,5,03:13.9,product_view,prod_5175,,
1,5,43:05.9,purchase,prod_5113,454.1052765,purchase
1,5,31:30.1,purchase,prod_2362,35.60615571,purchase
1,6,09:16.2,add_to_cart,prod_4614,,
1,6,21:36.7,product_view,prod_7475,,
1,6,49:15.0,logout,,,
1,6,26:12.1,add_to_cart,prod_3223,,
1,6,56:10.1,add_to_cart,prod_1192,,
1,6,24:04.4,add_to_cart,prod_8028,,
1,6,30:08.6,product_view,prod_9542,,
1,6,07:05.8,page_view,,,
1,7,27:34.7,add_to_cart,prod_5915,,
1,7,56:58.1,product_view,prod_3548,,
1,7,26:04.1,product_view,prod_1392,,
1,7,16:33.8,add_to_cart,prod_5032,,
1,7,46:07.9,add_to_cart,prod_8998,,
1,7,54:59.6,add_to_cart,prod_9103,,
1,7,34:11.6,add_to_cart,prod_2436,,
1,7,31:53.8,product_view,prod_5109,,
1,8,49:18.9,logout,,,
1,8,22:55.1,product_view,prod_3790,,
1,8,23:23.1,page_view,,,
1,8,09:28.2,product_view,prod_9816,,
1,8,43:52.5,page_view,,,
1,8,33:28.1,login,,,
1,8,09:29.7,click,,,
1,8,44:58.9,login,,,
1,8,56:51.5,logout,,,
1,8,05:37.0,login,,,
1,9,45:50.3,page_view,,,
1,9,28:12.9,product_view,prod_8690,,
1,9,14:38.9,add_to_cart,prod_8685,,
1,9,33:39.3,page_view,,,
1,9,05:39.0,purchase,prod_3149,457.6279672,purchase
1,9,30:04.3,add_to_cart,prod_8010,,
1,9,47:41.6,product_view,prod_5478,,
1,9,23:28.8,purchase,prod_9687,459.3386404,purchase
1,10,10:22.0,login,,,
1,10,23:09.9,login,,,
1,10,04:30.5,add_to_cart,prod_2662,,
1,10,41:14.1,logout,,,
1,10,10:14.2,add_to_cart,prod_7361,,
2,1,27:01.9,logout,,,
2,1,18:00.6,click,,,
2,1,02:50.2,page_view,,,
2,1,41:02.0,purchase,prod_9140,262.5236987,purchase
2,1,50:07.6,logout,,,
2,1,13:58.3,login,,,
2,1,53:06.6,logout,,,
2,2,57:27.2,page_view,,,
2,2,03:04.3,logout,,,
2,2,55:51.2,add_to_cart,prod_6847,,
2,2,05:44.3,login,,,
2,2,38:56.0,purchase,prod_4500,199.3569694,purchase
2,2,29:20.0,page_view,,,
2,2,04:41.3,purchase,prod_9382,130.052528,purchase
2,2,19:06.8,page_view,,,
2,3,39:14.2,click,,,
2,3,29:34.9,logout,,,
2,3,57:15.8,login,,,
2,3,31:28.7,add_to_cart,prod_9809,,
2,3,21:34.5,add_to_cart,prod_4092,,
2,3,23:41.9,purchase,prod_5291,92.79021854,purchase
2,4,07:40.5,add_to_cart,prod_8372,,
2,4,29:59.6,add_to_cart,prod_2292,,
2,4,21:53.6,add_to_cart,prod_7594,,
2,4,18:17.9,add_to_cart,prod_9583,,
2,4,15:35.8,page_view,,,
2,5,07:42.3,add_to_cart,prod_4777,,
2,5,39:46.0,login,,,
2,5,49:57.8,purchase,prod_9575,112.3209439,purchase
2,5,21:11.9,page_view,,,
2,5,08:44.0,logout,,,
2,5,12:44.0,add_to_cart,prod_7874,,
2,5,02:58.8,login,,,
2,6,11:09.7,add_to_cart,prod_9276,,
2,6,03:40.4,product_view,prod_3943,,
2,6,47:08.6,add_to_cart,prod_4323,,
2,6,14:35.3,click,,,
2,6,55:56.7,login,,,
2,6,11:17.0,purchase,prod_9879,127.474963,purchase
2,6,58:00.3,purchase,prod_6559,136.8863328,purchase
2,6,14:15.6,add_to_cart,prod_9788,,
2,7,58:53.9,purchase,prod_1607,176.5691855,purchase
